"Date","Price","Open","High","Low","Vol.","Change %"
"16/12/2021","15.9343","16.0001","16.0423","15.8971","","-0.23%"
"15/12/2021","15.9704","16.1208","16.2696","15.9460","","-0.74%"
"14/12/2021","16.0892","16.0312","16.1748","15.9841","","0.42%"
"13/12/2021","16.0215","15.9761","16.0702","15.8648","","0.30%"
"10/12/2021","15.9741","15.9275","16.0933","15.8667","","0.34%"
"09/12/2021","15.9200","15.7170","16.0174","15.6804","","1.43%"
"08/12/2021","15.6948","15.8482","15.8999","15.6669","","-0.91%"
"07/12/2021","15.8396","15.9054","16.0425","15.8347","","-0.27%"
"06/12/2021","15.8821","16.0820","16.0830","15.8294","","-1.21%"
"03/12/2021","16.0768","15.9479","16.1505","15.7944","","0.93%"
"02/12/2021","15.9287","16.0246","16.0623","15.7696","","-0.63%"
"01/12/2021","16.0296","15.9090","16.0582","15.7355","","0.98%"
"30/11/2021","15.8735","16.1479","16.2510","15.8504","","-1.66%"
"29/11/2021","16.1421","16.3079","16.3079","16.0715","","-0.99%"
"26/11/2021","16.3027","15.9450","16.3683","15.9450","","2.16%"
"25/11/2021","15.9580","15.8881","15.9833","15.8083","","0.41%"
"24/11/2021","15.8932","15.8167","15.9821","15.7997","","0.41%"
"23/11/2021","15.8284","15.8438","15.9440","15.7553","","-0.14%"
"22/11/2021","15.8503","15.7227","15.8668","15.6850","","0.84%"
"19/11/2021","15.7177","15.6440","15.7894","15.5341","","0.93%"
"18/11/2021","15.5728","15.5057","15.7705","15.4486","","0.51%"
"17/11/2021","15.4933","15.5094","15.5829","15.4446","","-0.08%"
"16/11/2021","15.5051","15.2488","15.5616","15.1796","","1.81%"
"15/11/2021","15.2289","15.3321","15.3636","15.1511","","-0.68%"
"12/11/2021","15.3329","15.2929","15.3788","15.2228","","0.23%"
"11/11/2021","15.2979","15.4204","15.4922","15.1812","","-0.76%"
"10/11/2021","15.4143","15.0333","15.4756","15.0264","","2.70%"
"09/11/2021","15.0092","14.9142","15.1144","14.8610","","0.68%"
"08/11/2021","14.9083","15.0579","15.1208","14.8949","","-0.94%"
"05/11/2021","15.0504","15.2109","15.3142","15.0136","","-1.03%"
"04/11/2021","15.2075","15.2615","15.3536","15.1413","","-0.34%"
"03/11/2021","15.2589","15.4385","15.4946","15.2302","","-1.12%"
"02/11/2021","15.4318","15.4057","15.4944","15.3498","","0.09%"
"01/11/2021","15.4172","15.2088","15.4526","15.2079","","1.40%"
"29/10/2021","15.2038","15.1431","15.3313","15.1112","","0.48%"
"28/10/2021","15.1315","15.0871","15.1838","15.0448","","0.36%"
"27/10/2021","15.0775","14.8342","15.0907","14.8095","","1.87%"
"26/10/2021","14.8011","14.7031","14.8713","14.6518","","0.66%"
